M = N;                                                                                                                                                                                           Количество потоков;;;;;;;;;;;;;;
;2;;;4;;7;;8;;16;;20;;40;
;T1;T2;S2;T4;S4;T6;S6;T8;S8;T16;S16;T20;S20;T40;S40
            20000     (~ 3 GB);5.401;3.362;1.604;1.473;3.662;0.9700;5.558;0.888;6.080;0.600;8.982;0.731;7.390;0.568;9.513
            40000     (~ 12 GB);20.9756;10.804;1.942;5.767;3.638;3.752;5.593;3.448;6.085;2.462;8.520;2.584;8.116;2.272;9.223
